Order ID,Product,Quantity,Price Each,Order Date,Branch
21061,Jacket,2,$45.20,2024-07-25,District 3
21061,Sweater,1,$37.58,2024-07-25,District 2
21061,Shorts,4,$17.95,2024-07-25,District 7
15877,Sweater,4,$33.68,2024-07-19,District 9
15877,Sweater,2,$40.52,2024-07-19,District 3
21015,Sweater,4,$45.29,2024-07-12,District 1
24712,Skirt,1,$23.06,2024-07-1,Tan Binh
11189,Jeans,1,$16.85,2024-07-6,District 9
11189,Shorts,1,$35.39,2024-07-6,District 10
28165,Sneakers,2,$18.51,2024-07-19,District 3
24391,Shorts,1,$27.54,2024-07-16,District 10
29729,Sweater,1,$41.13,2024-07-23,Hoc Mon
12446,Coat,2,$31.62,2024-07-1,Tan Binh
26365,Coat,2,$46.01,2024-07-14,District 8
26365,Jeans,2,$42.12,2024-07-14,District 7
21470,Sneakers,1,$23.61,2024-07-11,District 5
21470,T-Shirt,2,$24.80,2024-07-11,Thu Duc
19387,Jacket,1,$44.20,2024-07-11,Cu Chi
19387,Jacket,1,$22.41,2024-07-11,Tan Binh
19387,Coat,2,$33.82,2024-07-11,Phu Nhuan
27450,Blazer,1,$24.55,2024-07-27,District 5
27450,Sneakers,1,$25.20,2024-07-27,Hoc Mon
17349,Skirt,1,$48.49,2024-07-8,District 8
17349,Hoodie,2,$41.53,2024-07-8,District 9
19645,Skirt,2,$22.69,2024-07-15,District 9
18075,Sweater,2,$44.69,2024-07-4,Tan Binh
18749,T-Shirt,2,$31.19,2024-07-26,District 4
17054,Jacket,3,$21.10,2024-07-8,District 6
15402,Hoodie,4,$23.99,2024-07-4,Binh Thanh
14741,Hoodie,4,$42.93,2024-07-21,District 9
14741,Sneakers,4,$19.56,2024-07-21,District 10
14741,Coat,1,$43.17,2024-07-21,Nha Be
21165,Sneakers,1,$38.90,2024-07-25,Binh Tan
21165,Sneakers,2,$49.75,2024-07-25,District 8
25877,Shorts,2,$34.47,2024-07-28,Nha Be
25877,Jeans,3,$37.58,2024-07-28,District 6
26558,Sneakers,4,$33.68,2024-07-21,District 8
26558,Sneakers,1,$46.88,2024-07-21,District 6
13677,Blazer,3,$21.15,2024-07-1,Cu Chi
19828,Skirt,2,$18.90,2024-07-9,Cu Chi
19828,Sweater,3,$26.35,2024-07-9,Phu Nhuan
19828,Sneakers,3,$41.21,2024-07-9,District 6
12462,Sweater,3,$34.43,2024-07-14,District 4
26444,Shorts,4,$40.81,2024-07-6,District 7
26444,Jacket,2,$43.66,2024-07-6,District 4
14764,Hoodie,3,$26.40,2024-07-25,Thu Duc
14764,Jeans,2,$36.33,2024-07-25,District 5
14764,Blazer,2,$40.95,2024-07-25,District 3
16290,Sweater,4,$35.98,2024-07-11,Nha Be
16290,T-Shirt,4,$41.37,2024-07-11,Cu Chi
16290,T-Shirt,1,$32.62,2024-07-11,District 1
22239,Shorts,1,$35.20,2024-07-23,Phu Nhuan
22239,Coat,1,$29.35,2024-07-23,District 4
22239,Skirt,1,$24.26,2024-07-23,Phu Nhuan
13902,Hoodie,1,$45.10,2024-07-9,Hoc Mon
13631,Skirt,1,$29.58,2024-07-4,Phu Nhuan
19288,Sweater,1,$40.47,2024-07-9,District 4
25642,Jeans,2,$21.79,2024-07-13,District 4
25642,Jeans,1,$42.21,2024-07-13,District 3
28439,Coat,1,$37.14,2024-07-6,District 6
28439,Jacket,2,$39.05,2024-07-6,District 9
28439,T-Shirt,3,$41.90,2024-07-6,District 1
17815,Sneakers,3,$25.96,2024-07-22,Tan Phu
27065,Blazer,1,$46.99,2024-07-5,Binh Tan
16718,Sneakers,1,$40.24,2024-07-25,Phu Nhuan
16718,Shorts,2,$40.38,2024-07-25,District 9
16718,Sneakers,4,$38.40,2024-07-25,District 5
26529,Jeans,2,$20.30,2024-07-26,District 7
26529,Blazer,3,$40.96,2024-07-26,Nha Be
26529,Sweater,1,$29.99,2024-07-26,District 3
28838,T-Shirt,2,$42.90,2024-07-4,District 3
19490,T-Shirt,1,$25.49,2024-07-19,District 2
19490,Shorts,4,$30.47,2024-07-19,Go Vap
19490,Jeans,3,$47.76,2024-07-19,Go Vap
22622,T-Shirt,1,$26.28,2024-07-16,District 6
25847,Shorts,1,$43.23,2024-07-26,District 10
25847,Blazer,2,$34.87,2024-07-26,District 10
24297,Sweater,4,$22.64,2024-07-20,Hoc Mon
15240,Sweater,4,$49.20,2024-07-18,District 3
15240,Sneakers,2,$28.92,2024-07-18,Go Vap
23500,Skirt,3,$47.16,2024-07-28,District 8
13457,Jacket,1,$22.78,2024-07-16,District 8
13457,Hoodie,3,$26.93,2024-07-16,District 1
13457,T-Shirt,1,$36.56,2024-07-16,District 7
19330,Coat,2,$44.74,2024-07-12,District 4
19330,Hoodie,3,$23.28,2024-07-12,District 3
17057,Jacket,4,$28.87,2024-07-11,Tan Phu
17057,Jacket,2,$37.16,2024-07-11,Binh Thanh
26797,Sneakers,5,$19.53,2024-07-22,Go Vap
26797,Sweater,1,$22.64,2024-07-22,Cu Chi
29744,Shorts,1,$39.83,2024-07-4,District 8
29744,Jeans,4,$37.63,2024-07-4,Tan Phu
29744,Jeans,2,$34.55,2024-07-4,Binh Thanh
12453,Jacket,1,$33.91,2024-07-14,District 10
26778,Shorts,5,$39.54,2024-07-1,District 7
24730,Hoodie,1,$46.22,2024-07-20,District 8
24730,Blazer,2,$49.82,2024-07-20,Binh Tan
16229,T-Shirt,1,$40.33,2024-07-13,Nha Be
16229,Jacket,1,$34.86,2024-07-13,District 7
16229,Sweater,2,$30.17,2024-07-13,District 6
22147,Jacket,5,$33.64,2024-07-9,Cu Chi
21811,Skirt,4,$21.24,2024-07-9,Binh Thanh
26486,T-Shirt,4,$35.65,2024-07-10,District 4
26486,Sweater,2,$35.39,2024-07-10,Cu Chi
15339,Shorts,4,$27.49,2024-07-8,District 4
15339,Sneakers,2,$17.96,2024-07-8,District 7
15339,Jeans,1,$29.14,2024-07-8,District 3
18519,Shorts,2,$48.17,2024-07-9,District 3
18519,Jeans,4,$41.41,2024-07-9,District 5
18519,Shorts,2,$39.80,2024-07-9,District 6
26592,Coat,2,$16.36,2024-07-3,Thu Duc
26592,Blazer,3,$28.11,2024-07-3,District 1
26592,Sneakers,3,$16.33,2024-07-3,District 3
23351,Sweater,4,$30.40,2024-07-24,District 6
29682,Shorts,1,$18.40,2024-07-12,Nha Be
29682,Skirt,1,$25.32,2024-07-12,District 8
29682,T-Shirt,2,$17.32,2024-07-12,District 1
28280,Jacket,1,$42.92,2024-07-10,District 7
12470,Blazer,1,$21.63,2024-07-19,Binh Tan
12470,Skirt,1,$23.58,2024-07-19,Tan Binh
15618,Sneakers,3,$26.44,2024-07-6,Tan Binh
15547,Hoodie,5,$40.69,2024-07-12,Nha Be
24279,Sweater,3,$46.31,2024-07-5,Thu Duc
24279,Sweater,2,$35.32,2024-07-5,District 10
24279,Jacket,2,$16.97,2024-07-5,Binh Tan
18120,Coat,3,$27.37,2024-07-10,District 1
24866,Skirt,3,$23.59,2024-07-17,Thu Duc
16305,Hoodie,2,$18.29,2024-07-13,Binh Tan
