Order ID,Product,Quantity,Price Each,Order Date
13632,Coat,1,$18.46,2024-02-20
23420,Sneakers,1,$23,2024-02-19
22565,Shorts,2,$23,2024-02-08
21108,Sunglasses,2,$26,2024-02-28
13353,Backpack,1,$44.74,2024-02-15
15892,Blouse,1,$40,2024-02-10
11772,Shorts,1,$16.14,2024-02-23
22550,Watch,2,$24,2024-02-06
15138,Dress,5,$41.75,2024-02-17
28927,Skirt,2,$21,2024-02-05
14815,Sandals,1,$33.57,2024-02-11
15390,Watch,2,$27,2024-02-27
23942,Jeans,2,$37,2024-02-13
12281,Coat,2,$32,2024-02-22
11588,Pants,1,$46,2024-02-09
13966,Backpack,2,$40,2024-02-05
28254,Sunglasses,3,$22.9,2024-02-27
21180,Scarf,2,$27.06,2024-02-04
13879,Wallet,1,$38,2024-02-05
28866,Gloves,2,$18,2024-02-26
18253,Jacket,2,$47,2024-02-26
25505,Tie,3,$18,2024-02-07
24099,Jeans,5,$45.82,2024-02-02
27242,Dress,2,$33,2024-02-17
19705,Scarf,2,$17.13,2024-02-18
25937,Dress,2,$35.18,2024-02-13
24054,Backpack,3,$43,2024-02-06
22182,Coat,2,$39.19,2024-02-18
26118,Tie,1,$21.53,2024-02-17
24842,Tie,3,$27,2024-02-13
13648,Shoes,2,$32,2024-02-13
11058,Wallet,2,$34,2024-02-26
14497,Hoodie,4,$22,2024-02-06
29510,Handbag,2,$45.35,2024-02-23
16332,Coat,3,$44.55,2024-02-05
24454,Jacket,3,$42,2024-02-26
11719,Sweater,1,$39.86,2024-02-11
16390,Handbag,1,$32.65,2024-02-10
18851,Watch,1,$23,2024-02-21
13426,Dress,1,$49,2024-02-10
26882,Hat,2,$17.29,2024-02-28
16906,Watch,1,$27.18,2024-02-28
29521,Sunglasses,1,$36.1,2024-02-11
25562,Tie,1,$37.31,2024-02-02
14886,Jeans,2,$23,2024-02-24
15039,Handbag,2,$36,2024-02-22
18666,Backpack,1,$25.79,2024-02-24
26072,Coat,2,$39,2024-02-09
24715,Shorts,2,$30,2024-02-23
28557,Dress,2,$41,2024-02-24
14939,Jeans,2,$36.85,2024-02-15
