Order ID,Product,Quantity,Price Each,Order Date,Branch
18415,Hoodie,1,$48.83,2024-12-26,Cu Chi
18415,Coat,1,$25.24,2024-12-26,Go Vap
18415,Sneakers,1,$34.10,2024-12-26,Nha Be
15763,Sweater,3,$30.11,2024-12-8,District 4
14178,Sneakers,1,$44.43,2024-12-23,Thu Duc
14178,Coat,2,$41.98,2024-12-23,Go Vap
14178,Jacket,2,$40.87,2024-12-23,District 9
14362,T-Shirt,1,$21.74,2024-12-7,District 3
14362,Sweater,2,$49.09,2024-12-7,District 2
14362,T-Shirt,2,$44.10,2024-12-7,Hoc Mon
29019,Jacket,2,$44.89,2024-12-14,District 4
28817,Sneakers,3,$19.53,2024-12-7,District 5
28817,Sweater,2,$38.29,2024-12-7,District 8
18602,Sneakers,4,$46.63,2024-12-22,District 1
15802,T-Shirt,2,$22.25,2024-12-21,Binh Tan
15802,Sweater,2,$45.04,2024-12-21,Cu Chi
15802,Hoodie,2,$23.78,2024-12-21,District 9
15859,Jacket,1,$35.23,2024-12-19,Phu Nhuan
15859,Blazer,2,$26.73,2024-12-19,District 1
22043,Jacket,1,$23.17,2024-12-14,District 4
13123,Sweater,1,$44.90,2024-12-15,District 9
18168,Sneakers,3,$27.61,2024-12-25,District 9
18168,Shorts,2,$35.44,2024-12-25,Nha Be
18168,T-Shirt,1,$46.53,2024-12-25,Tan Phu
27697,T-Shirt,2,$39.36,2024-12-28,Binh Thanh
16486,Jeans,4,$21.57,2024-12-8,Go Vap
16486,Blazer,3,$49.88,2024-12-8,Tan Binh
15156,Blazer,3,$46.36,2024-12-24,District 2
15156,Sweater,1,$43.66,2024-12-24,District 8
15156,T-Shirt,1,$20.18,2024-12-24,Nha Be
27298,Jeans,1,$42.17,2024-12-12,District 5
27298,T-Shirt,2,$32.28,2024-12-12,Binh Tan
26451,Jacket,2,$48.27,2024-12-21,District 6
26451,Blazer,1,$23.80,2024-12-21,District 2
26451,Hoodie,1,$23.32,2024-12-21,Binh Tan
28057,Sweater,1,$47.37,2024-12-23,District 10
22807,Jacket,4,$30.59,2024-12-26,District 2
22807,T-Shirt,1,$31.80,2024-12-26,District 2
28874,Blazer,4,$32.03,2024-12-14,District 9
28874,Jeans,4,$23.96,2024-12-14,District 3
28874,Jeans,4,$28.64,2024-12-14,District 7
15312,Jacket,2,$27.83,2024-12-14,District 6
15312,Hoodie,1,$37.63,2024-12-14,District 5
26661,Blazer,3,$27.40,2024-12-27,Phu Nhuan
16243,Sneakers,5,$31.35,2024-12-8,Cu Chi
15128,Skirt,2,$26.22,2024-12-5,District 7
14500,Sweater,4,$30.09,2024-12-1,Cu Chi
11182,Sneakers,1,$49.75,2024-12-18,Cu Chi
19444,Jeans,2,$37.58,2024-12-21,District 4
19444,Jacket,3,$35.28,2024-12-21,Hoc Mon
26126,Jeans,3,$34.69,2024-12-15,District 10
21254,Sweater,1,$25.22,2024-12-25,Binh Thanh
21254,T-Shirt,2,$46.96,2024-12-25,Hoc Mon
26246,Hoodie,2,$32.61,2024-12-25,District 7
21676,Blazer,2,$24.23,2024-12-5,District 5
21676,Coat,1,$39.33,2024-12-5,Binh Thanh
16042,Jeans,1,$45.03,2024-12-25,District 2
16042,Shorts,2,$48.71,2024-12-25,District 4
16042,Jacket,3,$17.65,2024-12-25,Phu Nhuan
23008,T-Shirt,1,$29.31,2024-12-13,Tan Phu
23008,Skirt,1,$21.62,2024-12-13,District 1
19022,Jeans,1,$33.52,2024-12-2,District 10
16637,Jacket,3,$40.35,2024-12-9,Go Vap
15160,Coat,3,$45.65,2024-12-1,District 1
15160,Shorts,2,$28.61,2024-12-1,Go Vap
12315,Coat,3,$48.02,2024-12-7,District 2
12315,Coat,1,$45.93,2024-12-7,District 1
12315,Jacket,2,$47.92,2024-12-7,Cu Chi
16292,Jacket,1,$35.22,2024-12-23,Cu Chi
16292,Skirt,1,$24.65,2024-12-23,District 2
29360,T-Shirt,1,$30.81,2024-12-25,District 6
29360,Sneakers,1,$44.10,2024-12-25,District 6
24514,T-Shirt,1,$44.53,2024-12-14,District 8
19272,Shorts,1,$34.86,2024-12-20,Binh Thanh
19272,Sneakers,4,$42.82,2024-12-20,District 2
19272,Sweater,2,$31.29,2024-12-20,District 10
27572,T-Shirt,3,$49.10,2024-12-23,Binh Tan
27572,Shorts,1,$21.21,2024-12-23,District 10
27572,Sneakers,1,$16.59,2024-12-23,Tan Binh
25741,Sneakers,1,$44.05,2024-12-20,Binh Tan
25741,Sweater,1,$38.30,2024-12-20,District 6
21833,Skirt,2,$27.07,2024-12-15,District 10
21833,Hoodie,2,$47.22,2024-12-15,District 8
27538,Skirt,3,$22.52,2024-12-15,District 7
27538,Hoodie,5,$19.57,2024-12-15,Tan Binh
27538,Sneakers,5,$29.74,2024-12-15,District 1
21385,Hoodie,2,$29.50,2024-12-10,Tan Binh
21385,Skirt,2,$41.78,2024-12-10,District 2
25114,Sneakers,2,$24.78,2024-12-15,District 2
25114,Shorts,3,$26.51,2024-12-15,District 1
16045,Sweater,2,$47.12,2024-12-17,District 4
16045,Blazer,2,$35.46,2024-12-17,Binh Tan
12193,Jeans,4,$35.96,2024-12-25,Binh Thanh
12193,Shorts,1,$17.20,2024-12-25,Nha Be
12193,Sneakers,4,$25.66,2024-12-25,District 8
18995,Jeans,1,$23.44,2024-12-10,District 3
17886,Jacket,3,$31.30,2024-12-16,Thu Duc
17886,Sweater,3,$28.46,2024-12-16,Binh Thanh
17886,Blazer,2,$41.52,2024-12-16,Hoc Mon
14015,Skirt,2,$27.26,2024-12-21,District 3
14015,Sweater,1,$41.76,2024-12-21,Thu Duc
26197,Skirt,1,$46.83,2024-12-18,District 2
26197,Sneakers,3,$40.23,2024-12-18,District 4
28426,Hoodie,3,$35.17,2024-12-21,Tan Binh
28426,Jeans,1,$35.41,2024-12-21,Cu Chi
18901,Jeans,5,$34.11,2024-12-23,District 6
13135,Sweater,5,$30.16,2024-12-18,Hoc Mon
13135,Hoodie,4,$36.63,2024-12-18,Hoc Mon
13135,Jeans,3,$29.49,2024-12-18,Binh Tan
11249,Sneakers,1,$32.74,2024-12-3,District 7
11249,Blazer,2,$17.33,2024-12-3,Binh Thanh
11249,Jeans,2,$25.49,2024-12-3,District 4
11020,Shorts,5,$31.26,2024-12-18,Nha Be
24229,Jeans,1,$40.37,2024-12-6,Nha Be
11464,Jeans,1,$36.43,2024-12-7,Thu Duc
11464,Jeans,5,$32.26,2024-12-7,District 6
25575,Sweater,4,$41.00,2024-12-7,District 2
25575,Sneakers,3,$26.05,2024-12-7,Nha Be
25575,Sneakers,5,$17.43,2024-12-7,Phu Nhuan
17782,T-Shirt,2,$29.38,2024-12-21,Binh Tan
19146,Shorts,1,$19.57,2024-12-20,Binh Tan
19146,Sweater,4,$39.32,2024-12-20,District 9
19146,T-Shirt,2,$31.90,2024-12-20,District 7
23463,Hoodie,2,$39.45,2024-12-28,District 1
23463,Sweater,2,$22.95,2024-12-28,Nha Be
25453,Blazer,1,$37.30,2024-12-13,District 5
25453,Coat,4,$38.96,2024-12-13,District 7
13189,Blazer,1,$42.49,2024-12-6,Binh Tan
25573,Blazer,3,$35.76,2024-12-6,District 10
25573,Skirt,3,$42.27,2024-12-6,District 2
29669,Coat,1,$44.55,2024-12-9,Go Vap
29669,Jeans,2,$42.40,2024-12-9,District 6
29669,Coat,2,$38.07,2024-12-9,District 9
22960,Sneakers,1,$23.77,2024-12-28,District 2
18898,Sneakers,5,$22.38,2024-12-25,District 7
18898,Jeans,1,$20.52,2024-12-25,District 6
18898,Skirt,1,$27.01,2024-12-25,District 10
29693,Jacket,3,$33.25,2024-12-7,District 3
29693,Sneakers,1,$19.27,2024-12-7,Hoc Mon
29693,Blazer,3,$49.32,2024-12-7,District 4
24012,Skirt,2,$38.14,2024-12-21,District 5
24012,Jeans,2,$39.19,2024-12-21,Binh Tan
24012,Hoodie,1,$40.60,2024-12-21,District 3
