Order ID,Product,Quantity,Price Each,Order Date
18348,Shorts,1,$17,2024-08-14
18377,Wallet,2,$32.15,2024-08-26
24822,Wallet,5,$23.19,2024-08-27
27498,Sandals,2,$32.71,2024-08-12
25089,Sunglasses,3,$20,2024-08-14
16240,Socks,3,$22,2024-08-02
12928,Hat,3,$39.27,2024-08-06
25691,Scarf,1,$34.49,2024-08-17
17069,Socks,3,$31.18,2024-08-10
25448,Belt,1,$36,2024-08-28
22414,Backpack,2,$36,2024-08-07
12459,Shorts,1,$39.81,2024-08-13
22773,Jeans,2,$27,2024-08-14
17227,Watch,2,$41,2024-08-21
13174,Sweater,1,$45,2024-08-03
24647,Sunglasses,1,$28,2024-08-16
11802,Skirt,3,$36.46,2024-08-17
15136,Sunglasses,1,$48,2024-08-08
26182,Jacket,2,$37.96,2024-08-03
18050,Tie,1,$21.84,2024-08-19
19435,Belt,2,$40,2024-08-27
12981,Hoodie,1,$44.73,2024-08-01
24160,Dress,2,$27.07,2024-08-28
18584,Shorts,1,$22,2024-08-22
29922,Hoodie,2,$42.58,2024-08-18
29520,Jeans,5,$26.6,2024-08-13
12755,Shoes,4,$22,2024-08-11
12787,Socks,3,$44,2024-08-15
23061,Sunglasses,1,$26.47,2024-08-19
17526,Jacket,3,$45.0,2024-08-14
15224,Handbag,1,$30,2024-08-01
12251,Shoes,1,$37.75,2024-08-02
25504,Hoodie,1,$32,2024-08-16
28331,Socks,1,$50,2024-08-26
26224,Gloves,2,$22.99,2024-08-27
26834,Backpack,3,$21,2024-08-13
24223,Sunglasses,5,$44,2024-08-04
22381,Pants,2,$28,2024-08-21
25375,Jeans,1,$30.71,2024-08-13
29109,Shorts,3,$45.79,2024-08-21
24910,Hoodie,1,$18.5,2024-08-15
11252,Blouse,3,$23,2024-08-10
12137,Shoes,2,$28.1,2024-08-04
17194,T-Shirt,1,$24.93,2024-08-16
21681,Sunglasses,3,$29,2024-08-26
15981,Coat,1,$34.46,2024-08-21
28389,Hoodie,2,$45,2024-08-16
18112,Sandals,1,$30,2024-08-06
25774,Jacket,1,$35.73,2024-08-28
15931,Skirt,2,$32,2024-08-22
24448,Jeans,4,$33.05,2024-08-07
13238,Tie,3,$30,2024-08-15
29467,Sandals,1,$37.82,2024-08-17
15736,Dress,3,$28,2024-08-14
28120,Dress,1,$25.79,2024-08-02
26741,Jacket,2,$46.91,2024-08-04
