Order ID,Product,Quantity,Price Each,Order Date,Branch
14644,Sweater,4,$40.61,2024-10-22,District 2
17301,Sweater,3,$22.61,2024-10-17,Binh Tan
11393,Jeans,3,$34.73,2024-10-7,District 4
11393,Jacket,2,$22.32,2024-10-7,Binh Tan
11393,Jacket,2,$26.87,2024-10-7,District 10
28885,Hoodie,2,$20.51,2024-10-23,Cu Chi
26406,Blazer,1,$47.94,2024-10-5,Hoc Mon
26406,Jacket,1,$49.64,2024-10-5,District 7
26406,Sneakers,2,$42.10,2024-10-5,District 8
11932,Sneakers,1,$17.23,2024-10-15,District 1
21949,Coat,1,$22.56,2024-10-2,District 9
23709,Hoodie,4,$40.48,2024-10-23,District 9
23709,Skirt,1,$41.15,2024-10-23,District 8
22476,Coat,2,$36.34,2024-10-6,Go Vap
22476,Hoodie,3,$32.78,2024-10-6,District 10
28103,Sweater,5,$48.31,2024-10-19,District 4
28103,Jeans,4,$25.48,2024-10-19,Nha Be
28103,Sneakers,2,$29.81,2024-10-19,Phu Nhuan
14266,Blazer,1,$19.92,2024-10-22,Tan Phu
27714,Jacket,1,$17.64,2024-10-22,District 2
11473,Shorts,1,$25.99,2024-10-16,District 1
26643,T-Shirt,1,$32.09,2024-10-1,Go Vap
26643,Hoodie,2,$26.74,2024-10-1,District 6
26643,T-Shirt,5,$22.29,2024-10-1,District 2
12511,Jeans,2,$31.96,2024-10-22,District 1
12511,Coat,3,$31.44,2024-10-22,District 2
17896,Sweater,1,$28.24,2024-10-24,Hoc Mon
14925,Sweater,1,$46.82,2024-10-23,Hoc Mon
14954,Jeans,2,$27.07,2024-10-1,Binh Tan
24138,Skirt,1,$26.05,2024-10-10,Binh Tan
24138,Hoodie,1,$17.40,2024-10-10,District 9
25177,Coat,2,$21.48,2024-10-22,District 7
25177,Skirt,1,$41.08,2024-10-22,District 9
24240,Hoodie,5,$27.23,2024-10-11,Tan Phu
24240,Hoodie,4,$36.95,2024-10-11,District 6
25633,Skirt,1,$26.97,2024-10-4,Binh Thanh
16362,Shorts,2,$41.70,2024-10-25,Cu Chi
16362,Sweater,2,$42.99,2024-10-25,District 2
16989,Shorts,3,$35.74,2024-10-19,Hoc Mon
12446,T-Shirt,2,$17.01,2024-10-15,District 3
14866,T-Shirt,3,$31.25,2024-10-24,District 10
14866,Sweater,2,$28.92,2024-10-24,Binh Thanh
14866,T-Shirt,2,$16.91,2024-10-24,Hoc Mon
11397,Hoodie,2,$31.23,2024-10-28,Nha Be
11397,Sneakers,3,$23.38,2024-10-28,Nha Be
12202,Sweater,1,$28.40,2024-10-20,District 8
12202,Skirt,1,$20.40,2024-10-20,Tan Phu
27964,Shorts,1,$45.40,2024-10-15,District 2
18765,Coat,2,$47.97,2024-10-1,District 6
18765,Skirt,2,$44.57,2024-10-1,District 6
11509,Shorts,1,$30.34,2024-10-16,Go Vap
11509,Sneakers,1,$42.30,2024-10-16,District 5
29792,Skirt,1,$40.13,2024-10-8,District 8
26117,Jacket,2,$33.09,2024-10-27,District 6
26117,Jacket,2,$30.62,2024-10-27,District 4
26117,T-Shirt,1,$33.89,2024-10-27,Thu Duc
15637,Shorts,3,$29.78,2024-10-19,Thu Duc
19342,Hoodie,1,$46.59,2024-10-27,Binh Tan
13328,Sweater,2,$24.06,2024-10-9,Hoc Mon
13328,Skirt,2,$38.98,2024-10-9,Tan Binh
19578,Shorts,2,$43.56,2024-10-17,Nha Be
19578,Jacket,4,$43.51,2024-10-17,Tan Phu
19578,Jeans,2,$29.79,2024-10-17,District 1
28330,Sweater,3,$22.74,2024-10-8,Phu Nhuan
26643,Jeans,1,$36.06,2024-10-20,District 3
21369,Sweater,1,$37.40,2024-10-11,District 3
21369,Sneakers,4,$20.18,2024-10-11,District 4
26377,Sweater,4,$47.48,2024-10-20,District 6
26377,Hoodie,3,$29.62,2024-10-20,District 9
26377,Shorts,4,$29.10,2024-10-20,District 8
17864,Sweater,2,$38.02,2024-10-17,District 4
17864,Jacket,2,$35.01,2024-10-17,Go Vap
17864,T-Shirt,2,$44.40,2024-10-17,Tan Phu
18644,Shorts,2,$46.58,2024-10-5,Binh Tan
12719,Jeans,1,$31.30,2024-10-27,District 4
13235,Blazer,5,$43.04,2024-10-6,Go Vap
13235,T-Shirt,5,$32.79,2024-10-6,District 10
11195,Jacket,4,$36.21,2024-10-28,Tan Phu
25669,Coat,1,$41.33,2024-10-1,District 2
25669,Sweater,1,$33.77,2024-10-1,Tan Binh
25669,Blazer,1,$40.13,2024-10-1,District 5
25682,Shorts,3,$43.16,2024-10-25,Tan Binh
25682,Jeans,4,$21.54,2024-10-25,Cu Chi
12103,Jeans,1,$46.42,2024-10-13,District 4
16033,Jeans,2,$36.32,2024-10-20,District 8
16033,Blazer,2,$32.73,2024-10-20,Nha Be
25300,Coat,3,$42.23,2024-10-17,District 2
