Order ID,Product,Quantity,Price Each,Order Date
14945,Jacket,1,$20.85,2024-01-10
26664,T-Shirt,1,$29,2024-01-25
27139,Dress,1,$34.37,2024-01-08
14034,Socks,2,$22.64,2024-01-15
18819,Tie,3,$48.21,2024-01-18
12828,Shoes,1,$46.96,2024-01-26
25830,Sneakers,5,$46,2024-01-05
17541,Pants,1,$25,2024-01-24
12807,Jeans,2,$40,2024-01-22
25329,T-Shirt,3,$41.86,2024-01-10
13087,Wallet,2,$23,2024-01-17
21542,Gloves,2,$20.17,2024-01-11
27309,Blouse,2,$33.77,2024-01-18
29487,Sneakers,1,$34.7,2024-01-22
28862,Gloves,2,$43,2024-01-13
26889,Sneakers,1,$39,2024-01-12
21284,Shorts,2,$22,2024-01-17
11071,Wallet,1,$40,2024-01-05
18124,Shoes,3,$36.91,2024-01-11
21447,Sneakers,4,$49,2024-01-28
16534,Dress,2,$35.84,2024-01-18
14939,Sweater,2,$22,2024-01-19
17121,Coat,4,$24.76,2024-01-03
13962,Hat,1,$41,2024-01-04
13334,Sneakers,2,$22,2024-01-25
28972,Dress,3,$42.57,2024-01-10
11519,Dress,3,$18,2024-01-09
17246,Jacket,2,$40,2024-01-12
24830,Skirt,2,$28.17,2024-01-03
16003,Blouse,1,$36,2024-01-05
28950,Backpack,1,$46,2024-01-03
17439,T-Shirt,2,$37,2024-01-15
22422,Jacket,3,$20,2024-01-12
22742,Skirt,2,$24,2024-01-19
12485,Jeans,1,$37.65,2024-01-24
17713,Belt,2,$44.94,2024-01-16
26324,Jacket,5,$24.64,2024-01-20
27333,Socks,2,$24,2024-01-13
14862,Backpack,5,$38,2024-01-14
23223,Watch,2,$40,2024-01-16
27613,Backpack,1,$25,2024-01-08
15289,Tie,3,$43,2024-01-18
18753,Jeans,1,$28.5,2024-01-02
14711,Backpack,2,$36.55,2024-01-03
17573,Pants,2,$20,2024-01-19
16456,Jeans,5,$20.23,2024-01-23
19015,Watch,2,$37,2024-01-15
26652,Scarf,2,$40.15,2024-01-21
18846,Belt,2,$45,2024-01-24
