Order ID,Product,Quantity,Price Each,Order Date
18737,Blouse,2,$19.25,2024-06-03
25130,Shorts,2,$38,2024-06-01
12947,Sneakers,3,$36.84,2024-06-20
18796,Shorts,2,$19.52,2024-06-12
15691,Hoodie,2,$26,2024-06-07
24746,Blouse,2,$50,2024-06-08
24165,Dress,3,$24.23,2024-06-07
14354,Hat,2,$50,2024-06-13
12258,Coat,2,$19,2024-06-20
27842,Scarf,1,$20,2024-06-08
16184,Jeans,2,$26.66,2024-06-09
28127,Hoodie,2,$30.02,2024-06-27
17681,Hoodie,3,$42.03,2024-06-03
23778,Wallet,1,$33.59,2024-06-22
11610,Belt,1,$19,2024-06-16
16373,Pants,1,$38.04,2024-06-20
16166,Socks,1,$36.59,2024-06-04
23342,Coat,1,$16,2024-06-26
18738,T-Shirt,5,$41,2024-06-04
12686,Pants,2,$28.59,2024-06-21
14277,Watch,1,$48,2024-06-19
12322,Coat,4,$37,2024-06-02
28913,Blouse,2,$36,2024-06-25
26369,Coat,2,$20,2024-06-28
11871,T-Shirt,2,$18,2024-06-08
23107,Socks,2,$19,2024-06-23
19443,Sweater,2,$43,2024-06-18
16235,Tie,1,$47,2024-06-09
17205,Sandals,1,$29.58,2024-06-06
16077,Watch,2,$43,2024-06-23
25089,Handbag,2,$37.03,2024-06-01
24007,Sandals,3,$39,2024-06-03
12893,Shoes,2,$50,2024-06-16
25433,Wallet,2,$44,2024-06-25
13701,Backpack,3,$30,2024-06-24
25577,Dress,1,$33,2024-06-06
16374,Dress,4,$28.51,2024-06-27
27568,Sneakers,3,$16,2024-06-25
28689,Sandals,1,$26,2024-06-04
15250,T-Shirt,2,$33.57,2024-06-25
17191,Dress,1,$43.46,2024-06-24
14284,Shoes,5,$48.2,2024-06-03
29486,Skirt,2,$32,2024-06-03
19092,Sandals,1,$32,2024-06-28
17519,Hoodie,3,$19,2024-06-23
21848,Sunglasses,3,$35,2024-06-25
18488,Coat,2,$18.61,2024-06-20
23030,Dress,2,$36,2024-06-17
25264,Sweater,2,$23,2024-06-25
29578,Gloves,1,$32.61,2024-06-25
16320,Blouse,2,$33.23,2024-06-27
28004,Socks,2,$42,2024-06-06
14291,Hat,1,$49.84,2024-06-06
26317,Hat,2,$33.66,2024-06-11
23852,Jacket,1,$22.82,2024-06-13
23526,Pants,1,$45,2024-06-19
25363,Jacket,1,$44,2024-06-22
17177,Watch,2,$26.45,2024-06-23
28482,Backpack,1,$37.79,2024-06-22
21236,Skirt,2,$38.39,2024-06-02
17611,Belt,4,$31,2024-06-12
14057,Backpack,2,$33.07,2024-06-21
26073,Hat,1,$19,2024-06-03
26717,Skirt,1,$18,2024-06-19
17958,Belt,1,$39,2024-06-22
13118,Jeans,4,$50,2024-06-02
23363,Shoes,3,$17.98,2024-06-01
17467,Skirt,2,$48.51,2024-06-21
19601,Sandals,1,$27.04,2024-06-17
11580,Tie,1,$44,2024-06-07
18080,Jacket,1,$39.24,2024-06-19
