Order ID,Product,Quantity,Price Each,Order Date,Branch
14552,Jacket,1,$20.66,2024-11-20,District 2
14552,Skirt,1,$25.53,2024-11-20,Tan Binh
14552,Coat,2,$41.51,2024-11-20,District 1
16608,Coat,3,$21.30,2024-11-7,District 1
19718,Coat,2,$16.12,2024-11-5,District 4
19718,Coat,2,$33.98,2024-11-5,Tan Phu
19718,Skirt,1,$25.36,2024-11-5,Binh Thanh
14157,Hoodie,3,$16.91,2024-11-20,Thu Duc
13987,Sweater,3,$42.27,2024-11-21,Thu Duc
13987,Blazer,1,$18.72,2024-11-21,District 7
15223,Jeans,1,$45.43,2024-11-25,District 8
15223,Sweater,5,$49.75,2024-11-25,Phu Nhuan
28320,Sneakers,4,$25.39,2024-11-20,Cu Chi
28320,Jacket,3,$37.58,2024-11-20,Nha Be
28320,Blazer,2,$26.56,2024-11-20,Tan Binh
16102,Hoodie,1,$22.50,2024-11-7,District 10
16102,Jacket,2,$20.51,2024-11-7,District 10
16102,Sweater,2,$21.38,2024-11-7,Binh Tan
22969,Jeans,3,$22.45,2024-11-7,District 3
16014,Shorts,1,$47.04,2024-11-11,Hoc Mon
16014,Hoodie,2,$30.29,2024-11-11,District 7
16014,Sneakers,1,$43.42,2024-11-11,Tan Phu
21353,Shorts,2,$39.17,2024-11-9,Phu Nhuan
16679,Sweater,1,$30.90,2024-11-8,District 2
16679,Sneakers,1,$47.53,2024-11-8,Phu Nhuan
25497,Coat,2,$32.94,2024-11-28,District 2
25497,Skirt,2,$17.31,2024-11-28,Binh Tan
25497,Hoodie,2,$20.10,2024-11-28,District 1
24974,Hoodie,2,$29.27,2024-11-2,Binh Thanh
24974,Coat,2,$21.99,2024-11-2,Thu Duc
14615,Jacket,1,$20.83,2024-11-17,District 8
14615,Sweater,4,$38.27,2024-11-17,Cu Chi
14615,Coat,5,$22.72,2024-11-17,Binh Tan
14447,Skirt,2,$32.56,2024-11-3,District 7
14447,Sweater,1,$22.54,2024-11-3,District 2
27153,Sweater,1,$46.80,2024-11-25,District 10
18594,Jacket,3,$47.83,2024-11-17,District 5
13842,Blazer,1,$18.24,2024-11-2,District 2
13842,Skirt,1,$49.82,2024-11-2,District 5
18240,Skirt,2,$27.72,2024-11-14,District 2
26807,Jeans,2,$23.83,2024-11-6,Go Vap
26807,T-Shirt,1,$18.51,2024-11-6,District 7
12619,T-Shirt,1,$40.19,2024-11-27,District 1
12619,T-Shirt,2,$31.16,2024-11-27,Tan Phu
12619,T-Shirt,5,$40.75,2024-11-27,Hoc Mon
