Order ID,Product,Quantity,Price Each,Order Date
21406,Hoodie,2,$36,2024-03-17
13896,Wallet,2,$19.47,2024-03-03
13045,Sweater,1,$43,2024-03-16
15315,Tie,2,$33,2024-03-18
11087,Watch,3,$32.25,2024-03-13
23721,Coat,3,$34,2024-03-25
14381,Tie,1,$41.2,2024-03-14
12749,Sweater,1,$41.6,2024-03-24
25654,Sandals,3,$27,2024-03-01
11199,Scarf,1,$27.07,2024-03-21
16535,Hat,1,$31.58,2024-03-22
21719,Hat,2,$20.12,2024-03-19
28033,Watch,2,$21.39,2024-03-18
28590,T-Shirt,1,$16.77,2024-03-02
12011,Sunglasses,1,$31,2024-03-05
14653,Gloves,1,$24,2024-03-26
21901,Wallet,1,$45.59,2024-03-06
25992,Sweater,1,$21.69,2024-03-17
12774,Handbag,2,$19.55,2024-03-12
21477,Belt,1,$41.45,2024-03-04
23250,Wallet,2,$47,2024-03-24
18064,Scarf,3,$46.74,2024-03-06
23979,Handbag,2,$41,2024-03-18
18412,Wallet,2,$42.6,2024-03-15
19476,Coat,2,$25.76,2024-03-22
13150,Blouse,2,$31.83,2024-03-27
27935,Blouse,1,$23.89,2024-03-16
18640,Tie,4,$16,2024-03-20
18219,Scarf,5,$23.35,2024-03-22
19426,Jeans,2,$24,2024-03-05
13489,Handbag,3,$33.49,2024-03-10
18032,Tie,1,$23.91,2024-03-25
22589,Socks,2,$34,2024-03-20
27217,Blouse,2,$26,2024-03-18
12598,Coat,2,$49,2024-03-17
28604,Coat,5,$28,2024-03-25
18556,Blouse,2,$42.61,2024-03-12
19522,Hoodie,2,$18,2024-03-23
12172,Handbag,1,$25.37,2024-03-05
28755,Socks,2,$31.06,2024-03-06
27663,Jacket,2,$49.98,2024-03-09
12988,Dress,2,$18.96,2024-03-26
26165,T-Shirt,1,$27.58,2024-03-13
19190,Jeans,1,$31.63,2024-03-09
13877,Gloves,2,$38,2024-03-02
23118,Sweater,2,$37.7,2024-03-23
12629,Coat,2,$38.73,2024-03-22
22409,Shoes,1,$49,2024-03-11
22941,Sneakers,2,$30.73,2024-03-07
21654,Hat,2,$41.01,2024-03-13
14078,Coat,3,$45.24,2024-03-28
13538,Handbag,2,$39.89,2024-03-23
25883,Tie,2,$19.93,2024-03-11
28701,Sneakers,1,$32.7,2024-03-05
17458,Shorts,2,$44,2024-03-02
23807,Backpack,1,$39,2024-03-08
27992,Wallet,2,$39.16,2024-03-25
18445,Sweater,1,$20,2024-03-18
