Order ID,Product,Quantity,Price Each,Order Date
18874,Skirt,1,$24,2024-05-13
15053,Coat,1,$41,2024-05-17
16373,Sweater,2,$36,2024-05-06
16644,Coat,2,$20.99,2024-05-08
22092,Dress,1,$23,2024-05-07
14040,Sunglasses,1,$24,2024-05-07
28666,Hoodie,2,$18.84,2024-05-23
21399,Sweater,2,$18.2,2024-05-26
15451,Hat,1,$33.17,2024-05-24
12352,Shorts,2,$26.4,2024-05-24
16103,Belt,2,$23.83,2024-05-20
27966,Hoodie,4,$27,2024-05-17
28921,Sandals,1,$49,2024-05-20
13343,Sunglasses,1,$28.58,2024-05-01
25874,Sandals,1,$38,2024-05-21
24479,Backpack,5,$24,2024-05-19
24427,Gloves,2,$45.22,2024-05-08
16036,Scarf,2,$37,2024-05-25
19658,Tie,1,$39.82,2024-05-28
21353,Belt,1,$24,2024-05-04
28946,Pants,2,$24,2024-05-18
14581,Jacket,1,$17,2024-05-16
14958,T-Shirt,1,$29,2024-05-10
16671,Wallet,2,$31.34,2024-05-11
17523,Wallet,2,$29.64,2024-05-23
18650,T-Shirt,2,$48.81,2024-05-04
11402,Sandals,1,$42,2024-05-07
28101,Hoodie,4,$18,2024-05-24
11916,Shorts,2,$45,2024-05-08
13706,Coat,1,$20.84,2024-05-16
19350,Hoodie,1,$37.68,2024-05-08
24197,Backpack,2,$49.69,2024-05-18
28808,Belt,3,$16.72,2024-05-06
14750,Jacket,4,$48,2024-05-23
28120,Hat,1,$19,2024-05-14
28284,Dress,4,$31.35,2024-05-01
17277,Coat,5,$42,2024-05-06
21067,Shoes,5,$23,2024-05-01
15025,Wallet,1,$25.11,2024-05-03
28995,Blouse,4,$33.92,2024-05-04
13731,Dress,2,$27.37,2024-05-25
14650,Sweater,4,$38.81,2024-05-17
25569,Dress,2,$30,2024-05-16
23931,Backpack,2,$22,2024-05-08
29101,Scarf,2,$50,2024-05-19
25462,Hat,2,$19.96,2024-05-03
28757,Wallet,1,$44.73,2024-05-10
28106,Jacket,5,$41,2024-05-14
18663,Gloves,1,$21.18,2024-05-09
15679,Scarf,4,$46.57,2024-05-25
13668,Tie,2,$21,2024-05-27
23206,Sunglasses,2,$37.04,2024-05-23
15969,Blouse,1,$29.86,2024-05-05
25057,Sunglasses,1,$44.45,2024-05-07
26375,Wallet,1,$44,2024-05-12
26396,Sunglasses,2,$26.22,2024-05-20
17438,Scarf,1,$19,2024-05-25
23397,Gloves,3,$45,2024-05-19
17098,Sunglasses,1,$36.72,2024-05-18
17872,Hat,1,$36.32,2024-05-18
29232,Socks,2,$42,2024-05-13
18295,Dress,1,$50,2024-05-28
19852,Dress,1,$43,2024-05-26
18727,Belt,2,$18.47,2024-05-14
25761,Hat,2,$39.93,2024-05-14
29671,Sweater,2,$33,2024-05-13
17421,T-Shirt,1,$36,2024-05-12
16335,Belt,2,$25,2024-05-17
13530,Backpack,2,$16.27,2024-05-04
28802,Handbag,1,$23,2024-05-01
28272,T-Shirt,1,$43.91,2024-05-07
